event_id,commence_time,home,away,bookmaker_key,bookmaker,book_last_update,market,outcome_name,outcome_price,outcome_point,date
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,mybookieag,MyBookie.ag,,h2h,Montréal Canadiens,122,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,mybookieag,MyBookie.ag,,spreads,Carolina Hurricanes,168,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,mybookieag,MyBookie.ag,,spreads,Montréal Canadiens,-210,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,mybookieag,MyBookie.ag,,totals,Over,-115,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,mybookieag,MyBookie.ag,,totals,Under,-106,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betus,BetUS,,h2h,Carolina Hurricanes,-150,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betus,BetUS,,h2h,Montréal Canadiens,129,,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betus,BetUS,,spreads,Carolina Hurricanes,180,-1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betus,BetUS,,spreads,Montréal Canadiens,-210,1.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betus,BetUS,,totals,Over,-120,5.5,2026-05-28
45905241c405bd525e45ac5b6879d0e0,2026-05-28T00:15:00Z,Montréal Canadiens,Carolina Hurricanes,betus,BetUS,,totals,Under,100,5.5,2026-05-28
