league,player_id,player_name,team,position,is_goalkeeper,appearances,starts,minutes_played,shots_per90,xg_per90,xa_per90,shot_on_target_rate,expected_minutes_share,source
eredivisie,218528,Luuk Brouwers,Heerenveen,Left Midfielder,False,31,21,1955.5,1.6109,0.2301,0.1841,0.3143,0.6208,espn_true_per90
eredivisie,159252,Joris van Overeem,Heerenveen,Right Midfielder,False,34,34,3021.7,0.4468,0.0596,0.2978,0.2667,0.9593,espn_true_per90
eredivisie,253396,Dylan Vente,Heerenveen,Forward,False,31,24,2215.2,2.7627,0.325,0.1219,0.3971,0.7032,espn_true_per90
eredivisie,301323,Maxence Rivera,Heerenveen,Attacking Midfielder Left,False,30,24,2054.4,3.1105,0.1752,0.1752,0.3944,0.6522,espn_true_per90
eredivisie,308051,Jacob Trenskow,Heerenveen,Attacking Midfielder Right,False,34,33,2761.0,2.8685,0.4238,0.163,0.4545,0.8765,espn_true_per90
eredivisie,326597,Václav Sejk,Heerenveen,Substitute,False,17,3,464.3,2.7139,0.5816,0.1939,0.4286,0.1474,espn_true_per90
eredivisie,395480,Eser Gürbüz,Heerenveen,Substitute,False,16,1,300.4,3.5956,0.2996,0.0,0.5,0.0954,espn_true_per90
eredivisie,378834,Marcus Linday,Heerenveen,Substitute,False,33,28,2383.5,0.6797,0.0378,0.0755,0.1111,0.7567,espn_true_per90
eredivisie,324582,Kayne Van Oevelen,FC Volendam,Goalkeeper,True,32,32,2850.6,0.0316,0.0,0.0,0.0,0.9316,espn_true_per90
eredivisie,144339,Mawouna Amevor,FC Volendam,Center Left Defender,False,32,32,2758.0,0.3916,0.0326,0.0326,0.1667,0.9013,espn_true_per90
eredivisie,283026,Xavier Mbuyamba,FC Volendam,Center Right Defender,False,16,6,745.0,1.2081,0.1208,0.0,0.3,0.2435,espn_true_per90
eredivisie,297297,Yannick Leliendal,FC Volendam,Left Back,False,32,31,2743.7,0.8201,0.0328,0.0328,0.32,0.8966,espn_true_per90
eredivisie,306449,Deron Payne,FC Volendam,Right Back,False,15,11,930.8,0.2901,0.0,0.0,0.0,0.3042,espn_true_per90
eredivisie,164393,Robert Mühren,FC Volendam,Attacking Midfielder,False,31,5,845.8,2.3409,0.6384,0.1064,0.5455,0.2764,espn_true_per90
eredivisie,312141,Gibson Yah,FC Volendam,Left Midfielder,False,24,20,1658.2,0.597,0.0,0.1628,0.3636,0.5419,espn_true_per90
