league,season,player_id,player_name,team,position,minutes,games,shots_per90,xg_per90,xa_per90,goals_per90,assists_per90,key_passes_per90,expected_minutes_share,is_goalkeeper,source
epl,2024,understat_11384,João Gomes,Wolverhampton Wanderers,M S,3034.0,36,1.0382,0.0852,0.0356,0.089,0.0297,0.6526,0.9364,False,understat
epl,2024,understat_11943,Dean Huijsen,Bournemouth,D S,2403.0,32,0.6367,0.0589,0.0873,0.1124,0.0749,0.5618,0.8344,False,understat
epl,2024,understat_12766,Jota Silva,Nottingham Forest,M S,799.0,31,2.5907,0.3085,0.3779,0.3379,0.1126,1.577,0.2864,False,understat
epl,2024,understat_586,John Stones,Manchester City,D S,539.0,11,0.334,0.1113,0.014,0.334,0.0,0.334,0.5444,False,understat
epl,2024,understat_725,Ola Aina,Nottingham Forest,D M,3020.0,35,0.3278,0.0137,0.0609,0.0596,0.0298,0.4768,0.9587,False,understat
epl,2024,understat_900,Adama Traoré,Fulham,F M S,1761.0,36,1.9932,0.2892,0.3283,0.1022,0.3578,2.1976,0.5435,False,understat
epl,2024,understat_922,Andreas Pereira,Fulham,M S,2063.0,33,1.7014,0.1941,0.2495,0.0873,0.1745,2.4867,0.6946,False,understat
epl,2024,understat_1245,Emerson,West Ham,D M S,2167.0,31,0.6645,0.0885,0.0504,0.0831,0.0415,0.706,0.7767,False,understat
epl,2024,understat_4419,Adam Armstrong,Southampton,F M S,1282.0,20,1.8253,0.2761,0.1408,0.1404,0.1404,0.6318,0.7122,False,understat
epl,2024,understat_5584,Aaron Wan-Bissaka,West Ham,D M S,3156.0,36,0.4563,0.0386,0.1166,0.057,0.1426,0.9411,0.9741,False,understat
epl,2024,understat_5609,Yves Bissouma,Tottenham,M S,1404.0,28,0.7051,0.0285,0.0188,0.1282,0.0,0.3846,0.5571,False,understat
epl,2024,understat_5682,Gonçalo Guedes,Wolverhampton Wanderers,F M S,968.0,29,2.5103,0.3096,0.1334,0.186,0.3719,1.3017,0.3709,False,understat
epl,2024,understat_6042,Jan Bednarek,Southampton,D,2538.0,30,0.1773,0.0365,0.0126,0.0709,0.0,0.1773,0.94,False,understat
epl,2024,understat_6108,Rodrigo Bentancur,Tottenham,M S,1674.0,26,1.1828,0.0699,0.0189,0.1075,0.0,0.4839,0.7154,False,understat
epl,2024,understat_6219,Enes Ünal,Bournemouth,F S,292.0,17,5.8562,0.6217,0.168,0.6164,0.3082,1.2329,0.1908,False,understat
epl,2024,understat_6820,David Brooks,Bournemouth,M S,937.0,29,2.4013,0.2758,0.1705,0.1921,0.0,1.825,0.359,False,understat
epl,2024,understat_6835,Tom Cairney,Fulham,M S,568.0,25,1.743,0.1262,0.2577,0.3169,0.0,1.5845,0.2524,False,understat
epl,2024,understat_6852,Matt Doherty,Wolverhampton Wanderers,D S,2140.0,30,0.4206,0.0663,0.0725,0.0841,0.0421,0.5047,0.7926,False,understat
epl,2024,understat_6888,William Saliba,Arsenal,D,3044.0,35,0.1774,0.0945,0.0222,0.0591,0.0,0.207,0.9663,False,understat
epl,2024,understat_6912,Pedro Porro,Tottenham,D S,2611.0,33,1.3443,0.0633,0.2267,0.0689,0.2068,1.9648,0.8791,False,understat
epl,2024,understat_7726,Ezri Konsa Ngoyo,Aston Villa,D S,2934.0,34,0.3374,0.0338,0.0126,0.0613,0.0,0.184,0.9588,False,understat
epl,2024,understat_7753,James Justin,Leicester,D S,2937.0,36,0.7661,0.0627,0.0294,0.0613,0.0613,0.4597,0.9065,False,understat
epl,2024,understat_7762,Jean-Ricner Bellegarde,Wolverhampton Wanderers,M S,1693.0,35,1.1695,0.0954,0.2154,0.1063,0.3721,1.3822,0.5375,False,understat
epl,2024,understat_7902,Matthijs de Ligt,Manchester United,D S,2141.0,29,0.7567,0.1207,0.0118,0.0841,0.0,0.2522,0.8203,False,understat
epl,2024,understat_7908,Marshall Munetsi,Wolverhampton Wanderers,F M S,1076.0,14,1.8401,0.237,0.1663,0.1673,0.0836,0.7528,0.854,False,understat
epl,2024,understat_8129,Riccardo Calafiori,Arsenal,D S,986.0,19,0.9128,0.0707,0.037,0.1826,0.0913,0.5477,0.5766,False,understat
epl,2024,understat_8226,Tariq Lamptey,Brighton,D M S,870.0,15,0.6207,0.0351,0.0927,0.2069,0.2069,0.5172,0.6444,False,understat
epl,2024,understat_8845,Hee-Chan Hwang,Wolverhampton Wanderers,F M S,623.0,21,0.7223,0.1154,0.0412,0.2889,0.0,0.4334,0.3296,False,understat
epl,2024,understat_8859,Mikkel Damsgaard,Brentford,F M S,2978.0,38,1.0578,0.1051,0.2794,0.0604,0.272,1.904,0.8708,False,understat
