team,player_id,period,player,game_home,game_away,date,shots,goals,assists,points,blocks,saves,toi_sec,is_dressed
Carolina Hurricanes,8476921,2,Jordan Martinook,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6689999999999999,0.028333333333333332,0.161,0.18933333333333333,0.3303333333333333,0.0,251.55555555556336,1
Carolina Hurricanes,8482702,2,Logan Stankoven,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.898,0.19599999999999998,0.10283333333333333,0.2988333333333333,0.15466666666666667,0.0,251.55555555556336,1
Carolina Hurricanes,8475791,2,Taylor Hall,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7721666666666667,0.11466666666666667,0.1305,0.24516666666666667,0.18483333333333332,0.0,251.55555555556336,1
Montréal Canadiens,8476479,2,Phillip Danault,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5763333333333334,0.043,0.07916666666666666,0.12216666666666666,0.24316666666666667,0.0,243.17037037037673,1
Montréal Canadiens,8476981,2,Josh Anderson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.728,0.0535,0.08016666666666666,0.13366666666666666,0.16366666666666665,0.0,243.17037037037673,1
Montréal Canadiens,8483424,2,Owen Beck,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6348333333333334,0.04716666666666666,0.074,0.12116666666666666,0.15416666666666667,0.0,243.17037037037673,1
Carolina Hurricanes,8476906,2,Shayne Gostisbehere,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.76,0.0365,0.1535,0.19,0.10983333333333332,0.0,305.4888888888776,1
Carolina Hurricanes,8482100,2,Alexander Nikishin,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6748333333333333,0.03333333333333333,0.13366666666666666,0.16699999999999998,0.345,0.0,305.4888888888776,1
Montréal Canadiens,8483686,2,Adam Engstrom,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.528,0.033999999999999996,0.08,0.11399999999999999,0.20733333333333331,0.0,236.22222222223238,1
Carolina Hurricanes,8485563,2,Charlie Cerrato,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6433333333333333,0.08433333333333333,0.0935,0.17783333333333334,0.30516666666666664,0.0,211.39259259259245,1
Carolina Hurricanes,8480829,2,Jesperi Kotkaniemi,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5048333333333334,0.023166666666666665,0.104,0.12716666666666665,0.12866666666666665,0.0,211.39259259259245,1
Carolina Hurricanes,8476873,2,Mark Jankowski,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5303333333333333,0.12416666666666666,0.06533333333333333,0.1895,0.30116666666666664,0.0,211.39259259259245,1
Carolina Hurricanes,8478427,3,Sebastian Aho,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.3843333333333332,0.24416666666666667,0.15333333333333332,0.39749999999999996,0.33366666666666667,0.0,450.43703703706285,1
Carolina Hurricanes,8482093,3,Seth Jarvis,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.0765,0.06683333333333333,0.22716666666666666,0.294,0.415,0.0,450.43703703706285,1
Carolina Hurricanes,8473533,3,Jordan Staal,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.1963333333333332,0.07633333333333334,0.2225,0.29883333333333334,0.33066666666666666,0.0,450.43703703706285,1
Carolina Hurricanes,8476958,3,Jaccob Slavin,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.0821666666666667,0.06766666666666667,0.21916666666666665,0.28683333333333333,0.8218333333333333,0.0,532.7629629629953,1
Carolina Hurricanes,8480817,3,K'Andre Miller,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.9405,0.14266666666666666,0.177,0.31966666666666665,0.5848333333333333,0.0,532.7629629629953,1
Montréal Canadiens,8480018,3,Nick Suzuki,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.1343333333333332,0.17516666666666666,0.12833333333333333,0.3035,0.479,0.0,458.80740740743505,1
Montréal Canadiens,8483515,3,Juraj Slafkovský,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.3191666666666666,0.05933333333333333,0.18816666666666665,0.24749999999999997,0.4463333333333333,0.0,458.80740740743505,1
Montréal Canadiens,8481540,3,Cole Caufield,Carolina Hurricanes,Montréal Canadiens,2026-05-21,1.4558333333333333,0.151,0.152,0.303,0.1515,0.0,458.80740740743505,1
Montréal Canadiens,8476875,3,Mike Matheson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.991,0.043666666666666666,0.173,0.21666666666666665,1.0311666666666666,0.0,567.9333333333581,1
Montréal Canadiens,8483457,3,Lane Hutson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.878,0.03833333333333333,0.15133333333333332,0.18966666666666665,0.4408333333333333,0.0,506.81481481484957,1
Carolina Hurricanes,8475883,3,Frederik Andersen,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.0,0.0,0.0,0.0,0.0,10.890908333333334,1199.9999999999998,1
Montréal Canadiens,8482487,3,Jakub Dobes,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.0,0.0,0.0,0.0,0.0,10.879858333333333,1199.9999999999998,1
Carolina Hurricanes,8476906,3,Shayne Gostisbehere,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.7171666666666666,0.036,0.1455,0.1815,0.1125,0.0,307.04444444443226,1
Carolina Hurricanes,8482100,3,Alexander Nikishin,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6028333333333333,0.03233333333333333,0.12416666666666666,0.1565,0.3506666666666667,0.0,307.04444444443226,1
Montréal Canadiens,8478851,3,Alexandre Carrier,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5356666666666666,0.03933333333333333,0.08966666666666666,0.129,0.628,0.0,353.0592592592374,1
Carolina Hurricanes,8480830,3,Andrei Svechnikov,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.9511666666666666,0.06983333333333333,0.149,0.21883333333333332,0.19666666666666666,0.0,286.30370370370196,1
Carolina Hurricanes,8477940,3,Nikolaj Ehlers,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6811666666666667,0.07466666666666666,0.13116666666666665,0.2058333333333333,0.2663333333333333,0.0,286.30370370370196,1
Carolina Hurricanes,8482809,3,Jackson Blake,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8006666666666666,0.1425,0.11116666666666666,0.25366666666666665,0.18916666666666665,0.0,286.30370370370196,1
Montréal Canadiens,8484984,3,Ivan Demidov,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.766,0.029833333333333333,0.11383333333333333,0.14366666666666666,0.19283333333333333,0.0,268.53333333333774,1
Montréal Canadiens,8478133,3,Jake Evans,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6558333333333333,0.03166666666666666,0.106,0.13766666666666666,0.242,0.0,268.53333333333774,1
Montréal Canadiens,8481618,3,Alex Newhook,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8031666666666666,0.1615,0.04616666666666667,0.20766666666666667,0.22916666666666666,0.0,268.53333333333774,1
Carolina Hurricanes,8480336,3,Sean Walker,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6451666666666667,0.06866666666666667,0.13583333333333333,0.20450000000000002,0.5218333333333334,0.0,360.1925925925743,1
Carolina Hurricanes,8478970,3,Jalen Chatfield,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.615,0.02783333333333333,0.14083333333333334,0.16866666666666666,0.288,0.0,360.1925925925743,1
Montréal Canadiens,8480865,3,Noah Dobson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6093333333333333,0.036333333333333336,0.09166666666666666,0.128,0.39816666666666667,0.0,301.34074074072583,1
Montréal Canadiens,8476479,3,Phillip Danault,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.5986666666666667,0.042499999999999996,0.07783333333333332,0.12033333333333332,0.23333333333333334,0.0,243.93333333333968,1
Montréal Canadiens,8476981,3,Josh Anderson,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6986666666666667,0.0525,0.0755,0.128,0.15083333333333332,0.0,243.93333333333968,1
Montréal Canadiens,8483424,3,Owen Beck,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.6255,0.044,0.07516666666666666,0.11916666666666666,0.14933333333333332,0.0,243.93333333333968,1
Montréal Canadiens,8482087,3,Kaiden Guhle,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.4978333333333333,0.0305,0.075,0.1055,0.5281666666666667,0.0,279.0074074074058,1
Carolina Hurricanes,8476921,3,Jordan Martinook,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.603,0.026666666666666665,0.1515,0.17816666666666667,0.3213333333333333,0.0,251.20000000000786,1
Carolina Hurricanes,8482702,3,Logan Stankoven,Carolina Hurricanes,Montréal Canadiens,2026-05-21,0.8155,0.17166666666666666,0.088,0.25966666666666666,0.16216666666666665,0.0,251.20000000000786,1
