event_key,market,selection,line,price,snapshot_ts
New York Jets @ Chicago Bears,moneyline,home,,-395,2026-07-09T21:12:54Z
New York Jets @ Chicago Bears,spread,home,-8.5,,2026-07-09T21:12:54Z
New York Jets @ Chicago Bears,total,over,45.5,-110,2026-07-09T21:12:54Z
New York Jets @ Chicago Bears,total,under,45.5,-110,2026-07-09T21:12:54Z
New York Jets @ Tennessee Titans,moneyline,away,,136,2026-07-09T21:12:54Z
New York Jets @ Tennessee Titans,moneyline,home,,-162,2026-07-09T21:12:54Z
New York Jets @ Tennessee Titans,spread,home,-3.0,,2026-07-09T21:12:54Z
New York Jets @ Tennessee Titans,total,over,39.5,-110,2026-07-09T21:12:54Z
New York Jets @ Tennessee Titans,total,under,39.5,-110,2026-07-09T21:12:54Z
Philadelphia Eagles @ Jacksonville Jaguars,moneyline,away,,-130,2026-07-09T21:12:54Z
Philadelphia Eagles @ Jacksonville Jaguars,moneyline,home,,110,2026-07-09T21:12:54Z
Philadelphia Eagles @ Jacksonville Jaguars,spread,home,1.5,,2026-07-09T21:12:54Z
Philadelphia Eagles @ Jacksonville Jaguars,total,over,43.5,-118,2026-07-09T21:12:54Z
