player_name,market,selection,line,price,snapshot_ts
jackson merrill,batter_total_bases,under,0.5,-106,2026-07-12T01:58:17Z
jackson merrill,batter_total_bases,under,1.5,-380,2026-07-12T02:47:20Z
jake cronenworth,batter_hits,over,2.5,+215,2026-07-12T02:47:20Z
jake cronenworth,batter_hits,under,2.5,-295,2026-07-12T02:47:20Z
jake cronenworth,batter_hits_runs_rbis,over,4.5,+158,2026-07-12T02:47:20Z
jake cronenworth,batter_hits_runs_rbis,under,4.5,-218,2026-07-12T02:47:20Z
jake cronenworth,batter_home_runs,over,0.5,1500,2026-07-12T01:58:17Z
jake cronenworth,batter_home_runs,over,0.5,+2000,2026-07-12T02:47:20Z
jake cronenworth,batter_rbis,over,1.5,+600,2026-07-12T02:47:20Z
jake cronenworth,batter_rbis,under,1.5,-1000,2026-07-12T02:47:20Z
jake cronenworth,batter_runs_scored,over,1.5,+475,2026-07-12T02:47:20Z
jake cronenworth,batter_runs_scored,under,1.5,-800,2026-07-12T02:47:20Z
jake cronenworth,batter_total_bases,over,1.5,130,2026-07-12T01:58:17Z
jake cronenworth,batter_total_bases,over,2.5,+210,2026-07-12T02:47:20Z
jake cronenworth,batter_total_bases,under,1.5,-176,2026-07-12T01:58:17Z
jake cronenworth,batter_total_bases,under,2.5,-390,2026-07-12T02:47:20Z
james mccann,batter_hits,over,0.5,175,2026-07-12T01:58:17Z
james mccann,batter_hits,under,0.5,-240,2026-07-12T01:58:17Z
james mccann,batter_hits_runs_rbis,over,0.5,145,2026-07-12T01:58:17Z
james mccann,batter_hits_runs_rbis,under,0.5,-197,2026-07-12T01:58:17Z
james mccann,batter_home_runs,over,0.5,1300,2026-07-12T01:58:17Z
james mccann,batter_home_runs,over,0.5,+1500,2026-07-12T02:47:20Z
james mccann,batter_rbis,over,0.5,550,2026-07-12T01:58:17Z
james mccann,batter_rbis,under,0.5,-1000,2026-07-12T01:58:17Z
james mccann,batter_runs_scored,over,0.5,390,2026-07-12T01:58:17Z
james mccann,batter_runs_scored,under,0.5,-600,2026-07-12T01:58:17Z
jonatan clase,batter_hits,over,1.5,115,2026-07-12T01:58:17Z
jonatan clase,batter_hits,under,1.5,-155,2026-07-12T01:58:17Z
jonatan clase,batter_hits_runs_rbis,over,4.5,-114,2026-07-12T01:58:17Z
jonatan clase,batter_hits_runs_rbis,under,4.5,-117,2026-07-12T01:58:17Z
jonatan clase,batter_home_runs,over,1.5,750,2026-07-12T01:58:17Z
jonatan clase,batter_home_runs,over,1.5,+2900,2026-07-12T02:47:20Z
jonatan clase,batter_rbis,over,2.5,475,2026-07-12T01:58:17Z
jonatan clase,batter_rbis,under,2.5,-800,2026-07-12T01:58:17Z
jonatan clase,batter_runs_scored,over,1.5,245,2026-07-12T01:58:17Z
jonatan clase,batter_runs_scored,under,1.5,-360,2026-07-12T01:58:17Z
jonatan clase,batter_total_bases,over,4.5,106,2026-07-12T01:58:17Z
jonatan clase,batter_total_bases,under,4.5,-141,2026-07-12T01:58:17Z
jose trevino,batter_home_runs,over,0.5,2000,2026-07-12T01:58:17Z
kazuma okamoto,batter_hits,over,0.5,130,2026-07-12T01:58:17Z
kazuma okamoto,batter_hits,over,0.5,+245,2026-07-12T02:47:20Z
kazuma okamoto,batter_hits,under,0.5,-175,2026-07-12T01:58:17Z
kazuma okamoto,batter_hits,under,0.5,-340,2026-07-12T02:47:20Z
kazuma okamoto,batter_hits_runs_rbis,over,1.5,-106,2026-07-12T01:58:17Z
kazuma okamoto,batter_hits_runs_rbis,over,1.5,+205,2026-07-12T02:47:20Z
kazuma okamoto,batter_hits_runs_rbis,under,1.5,-125,2026-07-12T01:58:17Z
kazuma okamoto,batter_hits_runs_rbis,under,1.5,-295,2026-07-12T02:47:20Z
kazuma okamoto,batter_home_runs,over,0.5,625,2026-07-12T01:58:17Z
kazuma okamoto,batter_home_runs,over,0.5,+950,2026-07-12T02:47:20Z
kazuma okamoto,batter_rbis,over,0.5,330,2026-07-12T01:58:17Z
kazuma okamoto,batter_rbis,over,0.5,+550,2026-07-12T02:47:20Z
kazuma okamoto,batter_rbis,under,0.5,-500,2026-07-12T01:58:17Z
kazuma okamoto,batter_rbis,under,0.5,-1000,2026-07-12T02:47:20Z
kazuma okamoto,batter_runs_scored,over,1.5,245,2026-07-12T01:58:17Z
kazuma okamoto,batter_runs_scored,over,1.5,+450,2026-07-12T02:47:20Z
kazuma okamoto,batter_runs_scored,under,1.5,-360,2026-07-12T01:58:17Z
kazuma okamoto,batter_runs_scored,under,1.5,-750,2026-07-12T02:47:20Z
ketel marte,batter_hits,over,0.5,120,2026-07-12T01:58:17Z
ketel marte,batter_hits,over,0.5,+180,2026-07-12T02:47:20Z
ketel marte,batter_hits,under,0.5,-165,2026-07-12T01:58:17Z
ketel marte,batter_hits,under,0.5,-250,2026-07-12T02:47:20Z
